time_iso_utc,time_unix_ms,price_usd
2024-12-04T14:03:45.958000+00:00,1733321025958,231.66088162
2024-12-04T15:03:28.032000+00:00,1733324608032,232.54208713
2024-12-04T16:01:56.887000+00:00,1733328116887,233.72687842
2024-12-04T17:03:26.853000+00:00,1733331806853,226.21147810
2024-12-04T18:03:35.379000+00:00,1733335415379,229.14915433
2024-12-04T19:03:36.918000+00:00,1733339016918,230.20069053
2024-12-04T20:03:32.568000+00:00,1733342612568,233.40180549
2024-12-04T21:02:43.812000+00:00,1733346163812,232.56975895
2024-12-04T22:03:26.903000+00:00,1733349806903,230.63780311
2024-12-04T23:02:35.609000+00:00,1733353355609,229.82680509
2024-12-05T00:00:31.026000+00:00,1733356831026,229.06669921
2024-12-05T01:03:22.055000+00:00,1733360602055,226.95667245
2024-12-05T02:01:11.693000+00:00,1733364071693,226.05726134
2024-12-05T03:03:28.950000+00:00,1733367808950,233.12254884
2024-12-05T04:02:58.739000+00:00,1733371378739,233.17189155
2024-12-05T05:01:04.532000+00:00,1733374864532,237.14753565
2024-12-05T06:00:19.650000+00:00,1733378419650,234.92493623
2024-12-05T07:01:03.752000+00:00,1733382063752,233.89437415
2024-12-05T08:02:43.323000+00:00,1733385763323,234.26689944
2024-12-05T09:03:44.916000+00:00,1733389424916,236.35920948
2024-12-05T10:03:35.506000+00:00,1733393015506,237.39989848
2024-12-05T11:03:36.101000+00:00,1733396616101,237.31716159
2024-12-05T12:01:05.054000+00:00,1733400065054,240.99822421
2024-12-05T13:03:33.827000+00:00,1733403813827,242.48356668
2024-12-05T14:00:11.282000+00:00,1733407211282,240.34946172
2024-12-05T15:04:50.198000+00:00,1733411090198,241.24128851
2024-12-05T16:04:42.966000+00:00,1733414682966,238.77379416
2024-12-05T17:03:31.806000+00:00,1733418211806,239.64896973
2024-12-05T18:03:31.795000+00:00,1733421811795,240.56703206
2024-12-05T19:03:37.812000+00:00,1733425417812,236.29890059
2024-12-05T20:03:38.583000+00:00,1733429018583,232.88080522
2024-12-05T21:03:41.835000+00:00,1733432621835,232.37623970
2024-12-05T22:03:29.239000+00:00,1733436209239,233.85010412
2024-12-05T23:00:26.939000+00:00,1733439626939,233.28909070
2024-12-06T00:03:06.825000+00:00,1733443386825,236.88204418
2024-12-06T01:00:16.988000+00:00,1733446816988,239.34442385
2024-12-06T02:03:35.331000+00:00,1733450615331,244.36475613
2024-12-06T03:03:32.299000+00:00,1733454212299,242.54984852
2024-12-06T04:01:05.117000+00:00,1733457665117,241.60268588
2024-12-06T05:03:18.929000+00:00,1733461398929,240.96731445
2024-12-06T06:03:35.514000+00:00,1733465015514,238.96116511
2024-12-06T07:03:31.132000+00:00,1733468611132,238.97991978
2024-12-06T08:03:32.231000+00:00,1733472212231,239.20394359
2024-12-06T09:03:32.091000+00:00,1733475812091,238.86451804
2024-12-06T10:03:38.796000+00:00,1733479418796,235.80569526
2024-12-06T11:03:40.675000+00:00,1733483020675,236.04441259
2024-12-06T12:00:15.426000+00:00,1733486415426,234.22568854
2024-12-06T13:03:36.432000+00:00,1733490216432,232.63914143
2024-12-06T14:03:30.518000+00:00,1733493810518,234.46889414
2024-12-06T15:03:33.974000+00:00,1733497413974,238.11378712
2024-12-06T16:08:48.516000+00:00,1733501328516,238.57806864
2024-12-06T17:04:04.483000+00:00,1733504644483,239.20154354
2024-12-06T18:00:49.521000+00:00,1733508049521,239.91271385
2024-12-06T19:03:29.327000+00:00,1733511809327,240.08456543
2024-12-06T20:03:18.150000+00:00,1733515398150,239.76949309
2024-12-06T21:03:26.101000+00:00,1733519006101,238.81366561
2024-12-06T22:03:15.920000+00:00,1733522595920,238.23592198
